"","time","estimate","upperRt","lowerRt","beta","delta","gamma","est_S","true_S","true_rt"
"1",8,3.89234888734894,4.68149700928852,-4.0365824078734e-23,0.93734564205708,0.217215105492501,0.240791830406472,0.999893498313478,0.999864276448686,1.99976133393663
"2",9,3.15299284354094,3.8151054582417,0,0.746955718427839,0.230973674842507,0.236874222544322,0.999875508113836,0.999846142460974,1.99972854797486
"3",10,2.65993584339493,3.24758596992961,2.20676712969369,0.663139708404358,0.239880549148719,0.249270630764435,0.999855501145295,0.999826056130318,1.99969227874096
"4",11,2.52152336628353,3.0246546204446,2.06229501796781,0.603930912298115,0.238831026004201,0.239470340225832,0.999833004264632,0.999803793182989,1.99965210451546
"5",12,2.42005879024276,2.8729040216908,2.04652606484179,0.56429632602482,0.246310575933575,0.233129983573201,0.999808504850445,0.99977911011025,1.99960757667976
"6",13,2.29511151864652,2.68856867860725,1.94891437067985,0.553761515292576,0.235258290337226,0.241225865549182,0.999781038097045,0.999751739759986,1.9995582081285
"7",14,2.15350943217381,2.47136179453587,1.85029575761245,0.521335709464776,0.245979265945842,0.242026169164706,0.999750503690183,0.999721387451176,1.99950346444897
"8",15,2.00615464374755,2.30239294499423,1.76245456950204,0.518813667217328,0.253628259877416,0.258537820063518,0.999717010322182,0.999687727271112,1.99944275614542
"9",16,1.89099055919363,2.14123488727301,1.66223784816674,0.52483141575918,0.260315648559642,0.277454166426226,0.99967950386887,0.999650398374266,1.99937543122776
"10",17,1.83791701063124,2.06552245395427,1.62785834523082,0.519982909752677,0.266138752062116,0.28281726971329,0.999637990320822,0.999609000923554,1.9993007678021
"11",18,1.9045876800565,2.1221710955794,1.70237424459793,0.513453886079045,0.262359372357031,0.269477957590384,0.999592002297982,0.999563091738266,1.99921796594456
"12",19,1.88586019405484,2.09722039686005,1.69426501111084,0.500232537224652,0.269143097035658,0.265132558384517,0.999541015023444,0.999512179644647,1.99912613898644
"13",20,1.88382029941394,2.08215680861434,1.6879562965784,0.496522498322582,0.267803942349531,0.263436258731624,0.999484562082982,0.999455720150035,1.999024304202
"14",21,1.91631614674801,2.11565722912801,1.74509477650688,0.498938804494341,0.267082457950517,0.260213035424533,0.999422047126023,0.999393109577107,1.99891137214045
"15",22,1.88297256430331,2.0481017371019,1.71150633652827,0.495480459525656,0.266996581978479,0.262967001411121,0.999352526330277,0.999323678945722,1.99878613487479
"16",23,1.9207426692903,2.09608611190226,1.76431976095651,0.503719456163883,0.264986279475943,0.262062440684561,0.999275500840351,0.999246686731092,1.99864725374051
"17",24,2.00297459189779,2.17824648078905,1.84185124217704,0.513546818192941,0.258791582266797,0.256184398177885,0.99918999049887,0.999161311099343,1.99849324482201
"18",25,2.02924163579835,2.19744025071754,1.87395093509403,0.517820978079343,0.253271395866325,0.254948753892718,0.999095533581759,0.999066641298719,1.99832246338663
"19",26,1.98195838517137,2.14395157750226,1.83454828129123,0.515123329295401,0.253553345572856,0.259643865579684,0.998990547075107,0.998961668108663,1.99813308662158
"20",27,1.98149928797898,2.14630937563611,1.83692666496651,0.51836784014444,0.246697392219022,0.261309279532906,0.998873987229758,0.99884527331259,1.99792309447633
"21",28,1.93242165987944,2.06647681481721,1.80795816839589,0.522198711742547,0.251377028854109,0.269891072632986,0.998745004222085,0.998716218065755,1.99769024853963
"22",29,1.96399754433163,2.09543740279977,1.83633200399709,0.520180513123047,0.245746725275129,0.264487762664461,0.998602030014708,0.998573130037292,1.99743206869128
"23",30,1.98450573992241,2.12124593350011,1.86950701544446,0.513302829850175,0.248164513533627,0.258252661990551,0.998443531316748,0.998414489238142,1.99714580728317
"24",31,1.98618135965016,2.11080430165522,1.86601455988326,0.519787298807948,0.248211485742608,0.261248444314993,0.998267544293654,0.998238612389346,1.9968284206689
"25",32,2.00944570625911,2.12944047976462,1.89627588113152,0.509860568316774,0.252706829245359,0.25324287633689,0.998072496909994,0.99804363567929,1.99647653778562
