"","time","estimate","upperRt","lowerRt","beta","delta","gamma","est_S","true_S","true_rt"
"1",NA,6.14726111475029,NA,NA,2.21299779072263,0.197098326882338,0.359979722816246,0.999950999248084,0.9999215203032,1.99986644060535
"2",5,5.5658866876604,8.77056076664695,3.41230804844179,1.39066169398045,0.189856427567142,0.249839108368435,0.999938499308632,0.999909060934316,1.99984303865076
"3",6,3.72522755347877,5.57393080839405,2.54591805405128,1.05810766541569,0.19250259684364,0.284017095205566,0.999925001302325,0.99989552567454,1.99981811940683
"4",7,2.6602311324533,3.69573059583076,1.92632097600871,0.929911256583128,0.211461082971624,0.349528864359125,0.999910002246618,0.999880668924479,1.99979104824474
"5",8,2.4681848353686,3.30669682545523,1.79818108340516,0.800859923849591,0.195043468285606,0.32443868189717,0.999893502994121,0.999864276448686,1.99976133393663
"6",9,2.05825293019307,2.69583264960187,1.56768673208399,0.726775290600689,0.210757279980953,0.353059041779266,0.999875500270128,0.999846142460974,1.99972854797486
"7",10,2.25877077570603,2.97742191824089,1.6998122199457,0.663600333160551,0.20735926966045,0.293745808749421,0.999855508102642,0.999826056130318,1.99969227874096
"8",11,2.51985448233148,3.31715878720619,1.91904678720163,0.663597161649274,0.201943055141672,0.263303435528211,0.999833001967701,0.999803793182989,1.99965210451546
"9",12,2.28162421425072,2.94750792151834,1.80682573605633,0.62007248322321,0.215992003656619,0.271715971405339,0.999808500668318,0.99977911011025,1.99960757667976
"10",13,2.313861748194,2.95159608399694,1.85964440949229,0.589655610094751,0.213665704649198,0.254780337119121,0.999781001247789,0.999751739759986,1.9995582081285
"11",14,2.15451920435431,2.72210446848898,1.74234127953539,0.539494182802272,0.225093257633441,0.250338719585639,0.999750499883342,0.999721387451176,1.99950346444897
"12",15,2.25995055403227,2.80695847729593,1.82321775628078,0.520950922541955,0.228702418784034,0.230449065061382,0.999716997755668,0.999687727271112,1.99944275614542
"13",16,2.0445176863346,2.45868433312642,1.68950275204331,0.540008858968068,0.232053086994396,0.264040653643594,0.999679500290568,0.999650398374266,1.99937543122776
"14",17,1.83777781663367,2.1975942783184,1.55004523105085,0.528512041538064,0.253035193358451,0.28747801582838,0.999638000151807,0.999609000923554,1.9993007678021
"15",18,1.77688041781476,2.10218359076424,1.51720850400404,0.51467501259621,0.245696616019377,0.289532722589675,0.999591999796214,0.999563091738266,1.99921796594456
"16",19,1.67915064554926,1.96193428466125,1.44902326374688,0.523356126133861,0.252712299284467,0.311536018428532,0.999541001498308,0.999512179644647,1.99912613898644
"17",20,1.86012547402779,2.17254134576455,1.58781121276513,0.531058127640085,0.255820555077299,0.28534869044649,0.99948450170358,0.999455720150035,1.999024304202
"18",21,1.97356949611289,2.26645829391925,1.70292613640048,0.513688434637862,0.261954421820153,0.260133490071588,0.999421996495987,0.999393109577107,1.99891137214045
"19",22,1.79622175763476,2.06301880748477,1.57825765091414,0.514631915059001,0.282457417045979,0.286322494037903,0.999352505046575,0.999323678945722,1.99878613487479
"20",23,1.88989046720547,2.14160840228907,1.64792966938442,0.518823204051964,0.272429034211521,0.274326649228166,0.999275505080927,0.999246686731092,1.99864725374051
"21",24,1.8374118492078,2.06254529604927,1.63013646669817,0.517892787109657,0.271415790629438,0.281631630648967,0.99919000253726,0.999161311099343,1.99849324482201
"22",25,1.79017445721672,2.0118766262813,1.592671469619,0.512936475592056,0.266257625917367,0.286269594535025,0.999095483359551,0.999066641298719,1.99832246338663
"23",26,1.94591356408355,2.16916938173387,1.74070105040033,0.518274816634756,0.25548668152455,0.266071232421849,0.998990503810215,0.998961668108663,1.99813308662158
"24",27,2.02349211204972,2.25991134983052,1.82551406962516,0.500240695078942,0.267062280137118,0.246938163003583,0.998874001890122,0.99884527331259,1.99792309447633
"25",28,1.98895302556821,2.20621858367127,1.78562741913193,0.496295153699343,0.277727363113106,0.249212668665441,0.998744975963108,0.998716218065755,1.99769024853963
"26",29,2.04176364048395,2.24823646497723,1.84655442429386,0.493241525166301,0.269784237496013,0.241238480443403,0.998601968657995,0.998573130037292,1.99743206869128
"27",30,2.03272343695009,2.21903912817018,1.84101476846285,0.499186947574753,0.259671087773825,0.245193196623634,0.998443488514761,0.998414489238142,1.99714580728317
"28",31,1.94028621161876,2.1208944228839,1.77962317373408,0.494790669390099,0.253271600534458,0.254567312650661,0.998267504263499,0.998238612389346,1.9968284206689
"29",32,1.97306912574351,2.13957537248589,1.8179063397877,0.505726055073017,0.24717174228664,0.25582036453074,0.998072489896092,0.99804363567929,1.99647653778562
